Natural Language Query,Filter Being Applied,Parameter That Changes,Full Function Call,What Changes vs Default
Show CGF and minor investors / Investors who are CGF or minor,Investor Subtype = CGF + MINOR,investorsubtype array gets both CGF and MINOR,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY['CGF','MINOR']::TEXT[],(null),(null),(null),null,'first_name','ASC','25',0,'Y')","Fifth parameter changes to ARRAY['CGF','MINOR']. Returns investors who are CGF or Minor or both."
Show investors who currently hold units / Who is currently invested / Investors with active holdings / Who has money in a fund,Current Holding = WITH,holding parameter passes ROW with WITH value,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[], ROW('WITH', ARRAY['ALL'], ARRAY['Z','N','Y']),(null),(null),null,'first_name','ASC','25',0,'Y')",Sixth parameter changes from null to ROW with WITH. Checks processed_trxns - units bought minus units sold greater than zero.
Show investors with no holdings / Who has zero balance / Who has fully exited / Investors not holding anything,Current Holding = WITHOUT,holding parameter passes ROW with WITHOUT value,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[], ROW('WITHOUT', ARRAY['ALL'], ARRAY['Z','N','Y']),(null),(null),null,'first_name','ASC','25',0,'Y')",Sixth parameter changes from null to ROW with WITHOUT. Returns investors where net unit balance is zero.
Show investors with SIP / Who has active SIP / SIP investors,"Systematic = WITH, plan type SIP",systematic parameter passes ROW with SIP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['SIP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter changes from null to ROW with WITH and SIP. Checks SIPSTP table for active SIP registrations.
Show investors without SIP / Who has no SIP running,"Systematic = WITHOUT, plan type SIP",systematic parameter passes ROW with WITHOUT and SIP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITHOUT', ARRAY['SIP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Same as above but WITH changes to WITHOUT. Returns investors with no active SIP.
Show investors with STP / Who has STP active,"Systematic = WITH, plan type STP",systematic parameter passes ROW with STP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['STP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter uses STP in the plan type array. Checks SIPSTP table for active STP.
Show investors with SWP / Who has SWP active,"Systematic = WITH, plan type SWP",systematic parameter passes ROW with SWP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['SWP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter uses SWP. Checks SIPSTP table for active SWP.
Show investors with DTP / Who has dividend transfer plan,"Systematic = WITH, plan type DTP",systematic parameter passes ROW with DTP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['DTP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter uses DTP. Checks DTP_REGN table for active DTP plans.
Show investors with FlexSIP / Who has FlexSIP active,"Systematic = WITH, plan type FLEXSIP",systematic parameter passes ROW with FLEXSIP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['FLEXSIP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter uses FLEXSIP. Checks SIPSTP table for active FlexSIP.
Show investors with FlexIndex / Who has FlexIndex active,"Systematic = WITH, plan type FLEXINDEX",systematic parameter passes ROW with FLEXINDEX,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['FLEXINDEX'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter uses FLEXINDEX. Checks TRIGGER_TRXN table for FlexIndex setups.
Show investors with SwingSTP,"Systematic = WITH, plan type SWINGSTP",systematic parameter passes ROW with SWINGSTP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['SWINGSTP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter uses SWINGSTP. Checks SIPSTP table for SwingSTP.
Show investors with SmartSwap,"Systematic = WITH, plan type SMARTSWAP",systematic parameter passes ROW with SMARTSWAP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['SMARTSWAP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter uses SMARTSWAP. Checks SIPSTP table for SmartSwap.
Show investors with any systematic plan / Who has any recurring investment,"Systematic = WITH, all plan types",systematic parameter passes ROW with all plan types,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITH', ARRAY['SIP','STP','SWP','FLEXSTP','FLEXINDEX','DTP','SWINGSTP','SMARTSWAP','FLEXSIP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Seventh parameter includes all plan types in the array.
Show investors with no systematic plan / Who has no SIP or STP,"Systematic = WITHOUT, all plan types",systematic WITH changes to WITHOUT,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null), ROW('WITHOUT', ARRAY['SIP','STP','SWP','FLEXSTP','FLEXINDEX','DTP','SWINGSTP','SMARTSWAP','FLEXSIP'], ARRAY['ALL'], ARRAY['Z','N','Y']),(null),null,'first_name','ASC','25',0,'Y')",Same as above but WITH changes to WITHOUT.
Who bought units recently / Show investors who made a purchase / Recent purchase activity,"Investor Activity = WITH, type PURCHASE, last 1 month",activity parameter passes ROW with PURCHASE,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null),(null), ROW('WITH', ARRAY['PURCHASE'], ARRAY['ALL'], ARRAY['Z','N','Y'], '1 month'),null,'first_name','ASC','25',0,'Y')","Eighth parameter changes from null to ROW with WITH, PURCHASE, and time window. Checks processed_trxns for purchase type transactions."
Who redeemed recently / Show investors with recent redemption,"Investor Activity = WITH, type REDEMPTION, last 1 month",activity parameter passes ROW with REDEMPTION,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null),(null), ROW('WITH', ARRAY['REDEMPTION'], ARRAY['ALL'], ARRAY['Z','N','Y'], '1 month'),null,'first_name','ASC','25',0,'Y')",Eighth parameter uses REDEMPTION as the transaction type.
Who did a switch recently / Show investors with switch activity,"Investor Activity = WITH, type SWITCH, last 1 month",activity parameter passes ROW with SWITCH,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null),(null), ROW('WITH', ARRAY['SWITCH'], ARRAY['ALL'], ARRAY['Z','N','Y'], '1 month'),null,'first_name','ASC','25',0,'Y')",Eighth parameter uses SWITCH as the transaction type.
Show investors with SIP transactions / Who had SIP instalment recently,"Investor Activity = WITH, type SIP, last 1 month",activity parameter passes ROW with SIP,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null),(null), ROW('WITH', ARRAY['SIP'], ARRAY['ALL'], ARRAY['Z','N','Y'], '1 month'),null,'first_name','ASC','25',0,'Y')",Eighth parameter uses SIP as the transaction type. Checks processed_trxns for SIP instalment transactions.
Show investors with any recent transaction / Who has been transacting,"Investor Activity = WITH, all types, last 1 month",activity parameter passes ROW with all transaction types,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null),(null), ROW('WITH', ARRAY['PURCHASE','SWITCH','REDEMPTION','SIP','DTP','STP','SWP','FLEXSIP'], ARRAY['ALL'], ARRAY['Z','N','Y'], '1 month'),null,'first_name','ASC','25',0,'Y')",Eighth parameter includes all transaction types in the array.
Find investor named Rahul / Search for Priya / Look up investor Amit,Name search,searchtext parameter gets the name,"select * from filter_dp_investor_menu('ARN-XXXX','ALL','ALL','ALL',ARRAY[]::TEXT[],(null),(null),(null),'rahul','first_name','ASC','25',0,'Y')",The ninth parameter changes from null to the name typed. ILIKE search on first_name.
